Ground Truth File,Predicted File,Mean Total Length Error,Mean Scheduling Order Error
84_results_output.csv,84_results_output.csv,0.1708428349408057,0.18600431771046763
101_results_output.csv,101_results_output.csv,0.1573183474737556,0.17611758206413855
67_results_output.csv,67_results_output.csv,0.3012888478967226,0.21546841008543707
130_results_output.csv,130_results_output.csv,0.3053536092190834,0.2823395036945847
138_results_output.csv,138_results_output.csv,0.41879249170184407,0.41879249170184407
128_results_output.csv,128_results_output.csv,0.43091088046726955,0.43091088046726955
135_results_output.csv,135_results_output.csv,0.4421186822528341,0.3961816935434199
149_results_output.csv,149_results_output.csv,0.29588362478997604,0.2846982221886384
123_results_output.csv,123_results_output.csv,0.19578619438963463,0.12328901133266201
144_results_output.csv,144_results_output.csv,0.23073916145454954,0.2237030445513581
132_results_output.csv,132_results_output.csv,0.3573868813362854,0.2915135640594849
141_results_output.csv,141_results_output.csv,0.25775375054516175,0.30783619073795654
143_results_output.csv,143_results_output.csv,0.5,0.5
124_results_output.csv,124_results_output.csv,0.36557978505076016,0.36557978505076016
125_results_output.csv,125_results_output.csv,0.4623663089878375,0.4623663089878375
127_results_output.csv,127_results_output.csv,0.37608910396975576,0.3111994658928537
129_results_output.csv,129_results_output.csv,0.2970536253590593,0.2646147552588075
153_results_output.csv,153_results_output.csv,0.5,0.40579965502357496
137_results_output.csv,137_results_output.csv,0.4494061651778266,0.4494061651778266
142_results_output.csv,142_results_output.csv,0.5,0.5
133_results_output.csv,133_results_output.csv,0.3977601771762547,0.346996944975979
154_results_output.csv,154_results_output.csv,0.47318045046697244,0.47318045046697244
140_results_output.csv,140_results_output.csv,0.11661637386614632,0.0758825809514753
136_results_output.csv,136_results_output.csv,0.47180275559206064,0.47180275559206064
145_results_output.csv,145_results_output.csv,0.22110276384331368,0.18599198276829282
155_results_output.csv,155_results_output.csv,0.4021878755497723,0.35382856726905726
122_results_output.csv,122_results_output.csv,0.5,0.5
152_results_output.csv,152_results_output.csv,0.3899664433051529,0.4007740642889125
147_results_output.csv,147_results_output.csv,0.3313317856693073,0.2566905098423139
131_results_output.csv,131_results_output.csv,0.3517502062762503,0.3013771445243295
151_results_output.csv,151_results_output.csv,0.23854651683834877,0.2226242339067796
