Ground Truth File,Predicted File,Mean Total Length Error (First Row),Mean Scheduling Order Error (First Row),Mean Total Length Error (All Rows),Mean Scheduling Order Error (All Rows)
37_results_output.csv,37_results_output.csv,0.05424478070759579,0.036931703910934296,0.034984738308359284,0.021987309914831242
54_results_output.csv,54_results_output.csv,0.05906566308028245,0.048172893578689736,0.04143659403309221,0.09080640809786222
12_results_output.csv,12_results_output.csv,0.10406711646675837,0.15424004571018438,0.036698847870232205,0.08900566557626806
133_results_output.csv,133_results_output.csv,0.29614285110235067,0.21342779356470032,0.16530373845317511,0.12347337806341244
15_results_output.csv,15_results_output.csv,0.47117317052211005,0.5109799416428282,0.33333333333333326,0.3249695848954269
173_results_output.csv,173_results_output.csv,0.24876079176094332,0.19632023986234307,0.14494988463078634,0.14424646494641408
109_results_output.csv,109_results_output.csv,0.3994233711428381,0.37805150133823423,0.27143740883352996,0.2754260539654834
154_results_output.csv,154_results_output.csv,0.3151659582991052,0.3873183829773837,0.2755883446904677,0.25919594063704865
168_results_output.csv,168_results_output.csv,0.5,0.5,0.5,0.660414976648559
105_results_output.csv,105_results_output.csv,0.12439618564875456,0.09029754010498117,0.06144274832234795,0.04564479459001676
32_results_output.csv,32_results_output.csv,0.3921051102945531,0.4584810131944457,0.3054451864717438,0.2589909246171026
158_results_output.csv,158_results_output.csv,0.37344349164635154,0.3140447512269177,0.2820151368683923,0.23280734756076465
33_results_output.csv,33_results_output.csv,0.17660490956286287,0.16671738288184693,0.18327175846992955,0.07876494203834736
21_results_output.csv,21_results_output.csv,0.36267370712274677,0.1739531628294311,0.30637871969608843,0.22803718883603658
96_results_output.csv,96_results_output.csv,0.5,0.5,0.5,0.5
160_results_output.csv,160_results_output.csv,0.3590032577889036,0.3296067272258881,0.2825422341755727,0.25019465353876297
98_results_output.csv,98_results_output.csv,0.36119899026960534,0.2705037424211228,0.13479917474444036,0.09448070020796842
110_results_output.csv,110_results_output.csv,0.2896276557442887,0.27250779061246316,0.2247182156999493,0.2151899681115128
140_results_output.csv,140_results_output.csv,0.2307714425030908,0.1933707038295288,0.12047251034335076,0.1320955261483667
40_results_output.csv,40_results_output.csv,0.1037155003885833,0.10859402815165722,0.0536766292118611,0.05106829776300255
172_results_output.csv,172_results_output.csv,0.13322606634227252,0.18870004012046565,0.044598638183457016,0.10973328242779483
136_results_output.csv,136_results_output.csv,0.032742585095795196,0.02547933535116483,0.04296791941714385,0.06803149244319247
178_results_output.csv,178_results_output.csv,0.11709885231007583,0.12440900062814922,0.05574466136660432,0.055562274976895254
60_results_output.csv,60_results_output.csv,0.060737717306276424,0.14446006987317125,0.055051103627508424,0.09130790022092211
13_results_output.csv,13_results_output.csv,0.2113850683703414,0.23943166502843422,0.15439192464292423,0.1433300204391997
8_results_output.csv,8_results_output.csv,0.20879072222834172,0.22257422701753343,0.057075459393135686,0.06956165660340895
35_results_output.csv,35_results_output.csv,0.09913314074630876,0.08172558416662547,0.05245684466858408,0.041339020716876104
106_results_output.csv,106_results_output.csv,0.23785046301804408,0.24796669689380432,0.10788648725000607,0.1345260477763481
22_results_output.csv,22_results_output.csv,0.088374169995448,0.22243751788987196,0.035372912440849405,0.05966950144344344
157_results_output.csv,157_results_output.csv,0.2821174275814114,0.2638136783518819,0.2051505448182512,0.2089555643440791
145_results_output.csv,145_results_output.csv,0.2851349970583413,0.13679973916754726,0.19858641288133233,0.11221119676769171
46_results_output.csv,46_results_output.csv,0.13634456431400765,0.1244812332091406,0.06234791386098402,0.05693694165363916
88_results_output.csv,88_results_output.csv,0.28244771692299525,0.3132783633303322,0.15832789022743804,0.16871210855407934
155_results_output.csv,155_results_output.csv,0.40606467973553173,0.33963670046470146,0.34257668145295195,0.1689144099108974
122_results_output.csv,122_results_output.csv,0.37368658006286204,0.4173444370313024,0.21673024482940137,0.18780428952710929
70_results_output.csv,70_results_output.csv,0.1579069137515868,0.11395217914936805,0.07824508018570274,0.09235759190335745
43_results_output.csv,43_results_output.csv,0.1876004884945795,0.18106182976298765,0.08461211890190433,0.0899394389971602
76_results_output.csv,76_results_output.csv,0.07462384408851302,0.21978330819946298,0.04907909618608282,0.08025090192215993
114_results_output.csv,114_results_output.csv,0.30020861659105136,0.25574623265826923,0.0722670381556553,0.072645450180963
66_results_output.csv,66_results_output.csv,0.16476211746124717,0.162083316406937,0.09339907189825349,0.08500691182228029
48_results_output.csv,48_results_output.csv,0.17293591769706945,0.173572909089729,0.09498967408081267,0.11457277588374963
58_results_output.csv,58_results_output.csv,0.16427899166514354,0.20011113012479453,0.13497846220420684,0.14261027197409198
78_results_output.csv,78_results_output.csv,0.28079672727368077,0.2954955791040904,0.19764874694633058,0.20902153805560655
116_results_output.csv,116_results_output.csv,0.23175829543854293,0.12807012617239133,0.1023840857991617,0.09072399425303398
169_results_output.csv,169_results_output.csv,0.20823995150878233,0.2983145442962093,0.11646223183294402,0.11522977665625536
79_results_output.csv,79_results_output.csv,0.1794204253542434,0.2623822698492681,0.11285648256929062,0.16847533193440817
87_results_output.csv,87_results_output.csv,0.26322266998100274,0.13501326292095753,0.12507854413121006,0.07007053246420447
17_results_output.csv,17_results_output.csv,0.08048967678237727,0.015218876995381901,0.060359278937618666,0.03216732004067312
50_results_output.csv,50_results_output.csv,0.06773262665309265,0.010618468287082898,0.02029203020345467,0.02582034340790172
68_results_output.csv,68_results_output.csv,0.11664415427266783,0.07209568938741044,0.04053851775582009,0.022484096074840455
6_results_output.csv,6_results_output.csv,0.03225816616025357,0.041349164018492056,0.05658917133925947,0.08771845670578378
20_results_output.csv,20_results_output.csv,0.13992042889393483,0.14499045344590333,0.0458784053027647,0.05055934966210951
